,timestamp,device_id,AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
1352,569719639,3670026,2.186864,1.3905524,-17.252617,0.6377206,-0.022903185,0.038083203,54.43941
1353,569725894,3670026,0.6880936,0.5722142,-25.560019,0.1861017,-0.23222765,0.000106526444,54.507957
1354,569727147,3670026,0.77667904,6.953241,-13.690524,-0.7374293,-0.25523737,0.041385524,54.50306
1355,569729700,3670026,-3.2776623,3.2350454,-10.383174,0.5857889,0.016298546,0.036911413,54.414932
1356,569734658,3670026,2.4794352,-9.017522,3.3360808,0.14258565,0.04926848,0.13443637,54.400246
1357,569737224,3670026,-3.0214825,3.8977604,-16.941372,0.41806304,-0.2034655,0.0044741104,54.473686
1358,569740922,3670026,0.19249383,-0.5319916,-6.1325083,0.36533245,0.12128036,0.057790596,54.449203
1359,569744722,3670026,-0.79487497,0.59136784,-17.868885,-0.4908206,-0.3333745,-0.046552055,54.473686
1360,569747177,3670026,0.47596732,-2.0570982,-5.137957,0.5797169,-0.07621967,0.050759852,54.434517
1361,569750965,3670026,4.609796,5.8361063,-13.035471,-0.74893415,-0.29885995,-0.013528858,54.488373
1362,569754692,3670026,-6.013756,4.0711007,-16.725414,0.23126891,-0.21257351,0.04628574,54.42962
1363,569758439,3670026,4.1577706,-1.9512744,-0.0028730421,0.34131074,-0.031158986,0.06609966,54.458996
1364,569762207,3670026,3.4476504,4.786967,-13.556449,-0.5278385,-0.30679616,-0.064075656,54.50306
1365,569764781,3670026,1.2679693,4.547547,-0.32130188,0.4670652,0.21060278,0.07307714,54.454098
1366,569768520,3670026,3.691859,-2.144247,-13.3639555,-0.37342846,-0.1567004,-0.009001484,54.43941
1367,569772230,3670026,-9.694602,2.8002584,-17.366102,-0.013209279,-0.12783173,-0.045859635,54.38556
1368,569776025,3670026,5.810249,3.9849093,-0.47548845,0.16479641,0.2454902,0.138005,54.38556
1369,569779751,3670026,1.1286267,3.2671278,-14.202405,-0.35819516,-0.11105382,-0.028549086,54.473686
1370,569782234,3670026,0.66127855,-2.5718515,2.33291,0.24144219,-0.085061364,0.10871024,54.424725
1371,569785991,3670026,2.6657043,-3.860411,-12.557588,-0.16660737,-0.28565067,-0.011185276,54.434517
1372,569789810,3670026,-7.363607,-4.633738,-20.576727,0.14572817,-0.21544974,0.013848438,54.51285
1373,569794784,3670026,-3.8589745,1.7918205,-10.311348,0.08713863,-0.06348976,0.036964677,54.375767
1374,569797255,3670026,0.5722142,0.3725378,-13.65509,-0.21475731,-0.26237464,-0.054488275,54.39535
1375,569799767,3670026,3.5798104,1.9718646,7.4823594,0.19643477,0.33630398,0.111160345,54.46879
1376,569806123,3670026,-0.2054225,0.85137814,-2.8768728,0.10594055,0.066525765,0.07925568,54.44431
1377,569807297,3670026,-10.164823,-0.1838747,-21.503283,-0.019920446,-0.08681905,-0.050653324,54.47858
1378,569811102,3670026,9.21624,1.9407399,10.16195,0.06364955,0.34301516,0.15126754,54.44431
1379,569814831,3670026,-1.8100165,-0.41371804,-17.034746,-0.30045784,-0.10231865,0.06482134,54.458996
1380,569817306,3670026,3.3561919,0.7206547,7.5048647,0.20703414,0.128897,0.06412892,54.458996
1381,569821063,3670026,3.8819587,-5.539704,-7.5197086,0.08479505,-0.07105314,0.032969933,54.43941
1382,569824842,3670026,-8.561187,0.7445967,-23.297977,-0.108071074,-0.11653993,0.048363004,54.414932
1383,569828677,3670026,6.2340226,1.9115306,12.283691,0.16144082,0.20213392,0.06695187,54.458996
1384,569831125,3670026,-4.7730803,1.2382811,-30.16311,-0.2060754,-0.02631203,-0.09640643,54.458996
1385,569834862,3670026,2.8859708,1.1784261,3.96815,0.14040186,0.3739078,0.14157364,54.463894
1386,569838619,3670026,2.7854142,-3.338475,-6.301539,0.09592706,-0.014966966,0.05917544,54.39535
1387,569842421,3670026,-6.378632,-3.0277076,-28.452215,-0.09661949,0.0012250541,-0.054435015,54.44431
1388,569846188,3670026,7.240066,1.8918982,8.863335,0.10104033,0.42290998,0.17070863,54.365974
1389,569848611,3670026,-6.1176643,5.2375555,-27.869465,-0.1908954,-0.11307782,0.00015978966,54.40514
1390,569856131,3670026,7.1902666,-2.156697,-0.72257006,0.14343786,-0.094116114,0.11776499,54.42962
1391,569857390,3670026,10.057084,5.8375425,11.732067,-0.084368944,0.41193777,0.2457565,54.41983
1392,569859882,3670026,-7.9884934,3.535757,-27.358543,-0.1611745,-0.09512811,-0.024501082,54.39535
1393,569864900,3670026,-5.7709837,-0.7493851,-24.24225,-0.22503711,0.10535465,0.023276027,54.414932
