timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
587175899,2490386,2490386,0,0,0,0,0,0,0,0,809.37067,809.37067,8093.707,8093.707,3.7546823,0.18105648,1.7912676e-07,-0.25911146,-0.4871526,-11.135916,-0.032083765,0.1903109,0.026232427,46.51625,24.626617,138.95302,0.31757432,0.13938327,0.0077277296,47.167706,47.167706
587278224,2490386,2490386,0,0,0,0,0,0,0,0,809.371,809.371,8093.7095,8093.7095,3.6425443,0.19275552,3.7081315e-07,0.25336024,-0.5045761,-11.237501,0.08298683,-0.2259344,0.017775731,78.000786,26.618053,252.39171,0.29321474,0.18209115,0.01094981,47.093678,47.093678
587381682,2490386,2490386,0,0,0,0,0,0,0,0,809.3712,809.3712,8093.7124,8093.7124,3.600996,0.19585696,1.2102597e-06,0.268651,-0.3762893,-10.708904,-0.038926605,-0.79515433,0.043949384,96.17071,49.350273,347.78848,0.4022367,0.14243005,0.011527573,47.0111,47.0111
587486565,2490386,2490386,0,0,0,0,0,0,0,0,809.37146,809.37146,8093.715,8093.715,3.6385252,0.18509234,9.95047e-07,0.078491636,-0.48024547,-10.495964,0.22792529,-0.78318536,0.05120935,76.8922,52.159153,166.61272,0.36785233,0.09883431,0.008127566,46.913612,46.913612
587589208,2490386,2490386,0,0,0,0,0,0,0,0,809.3718,809.3718,8093.718,8093.718,3.667608,0.17929651,8.0688835e-07,0.326993,-0.48590222,-10.056596,0.02764148,-0.71236855,0.029931309,43.37351,21.924164,201.7224,0.20541954,0.041599896,0.0061097806,46.791756,46.791756
587692916,2490386,2490386,0,0,0,0,0,0,0,0,809.37213,809.37213,8093.7217,8093.7217,3.5564828,0.1732853,4.6853444e-07,0.6306636,-0.571158,-9.709271,0.044634007,-0.45694247,0.022748256,63.026596,26.233225,310.38992,0.2040477,0.07374968,0.007635031,46.684845,46.684845
587796827,2490386,2490386,0,0,0,0,0,0,0,0,809.37244,809.37244,8093.724,8093.724,3.3423734,0.16996785,3.0232945e-07,0.37963113,-0.435204,-10.155081,0.0506894,-0.4422413,0.02203885,62.49258,11.469393,224.44942,0.094718054,0.07989025,0.009231218,46.5584,46.5584
587900869,2490386,2490386,0,0,0,0,0,0,0,0,809.37274,809.37274,8093.7275,8093.7275,3.5737162,0.18578996,3.0044157e-07,0.6297658,-0.39412808,-9.957904,0.15431657,-0.26550382,0.0763707,42.026367,31.068214,194.95761,0.19269153,0.036447495,0.0037733687,46.45913,46.45913
588004506,2490386,2490386,0,0,0,0,0,0,0,0,809.3731,809.3731,8093.7305,8093.7305,3.6611986,0.18604252,4.4517574e-07,0.64066404,-0.4511585,-9.996117,-0.15474524,-0.41030928,0.056699257,14.216245,16.53384,235.67323,0.19044282,0.062488947,0.0041386974,46.381416,46.381416
588108046,2490386,2490386,0,0,0,0,0,0,0,0,809.3734,809.3734,8093.7334,8093.7334,3.6276238,0.17425044,4.0850077e-07,0.49308783,-0.56526417,-9.867779,0.107631065,-0.42642853,0.027960738,86.472275,34.397465,583.7768,0.25607014,0.15818231,0.0071684946,46.29306,46.29306
588211886,2490386,2490386,0,0,0,0,0,0,0,0,809.37366,809.37366,8093.7363,8093.7363,3.4064858,0.1878406,2.3811342e-07,0.41629893,-0.45972157,-10.235935,-0.13674432,-0.26003113,0.039501578,38.811543,21.031584,259.12607,0.15566257,0.0849994,0.005376868,46.21414,46.21414
588315620,2490386,2490386,0,0,0,0,0,0,0,0,809.374,809.374,8093.74,8093.74,3.570143,0.18856493,1.6468775e-07,0.38518882,-0.41382718,-10.703826,-0.20925327,0.05963365,0.053283215,56.99296,24.576347,592.4665,0.22607075,0.15721188,0.005398699,46.15871,46.15871
588419355,2490386,2490386,0,0,0,0,0,0,0,0,809.3743,809.3743,8093.7437,8093.7437,3.6711924,0.1927988,2.7969722e-07,0.6943141,-0.6934597,-9.44558,-0.33588737,0.016886069,0.022064678,63.254086,77.568054,291.00375,0.7339453,0.17180417,0.009374806,46.10607,46.10607
588523132,2490386,2490386,0,0,0,0,0,0,0,0,809.37445,809.37445,8093.7446,8093.7446,3.6405947,0.19452392,7.6768146e-07,0.49037525,-0.532934,-10.567488,-1.0017002,-0.0006175448,0.014641481,106.25523,26.924627,390.34982,0.31200194,0.251438,0.018706655,46.06129,46.06129
588623232,2490386,2490386,0,0,0,0,0,0,0,0,809.375,809.375,8093.7505,8093.7505,3.5467958,0.184656,1.9435327e-06,0.67381597,-0.78524566,-10.917293,-1.3609211,0.09711382,0.026776522,107.64976,54.50888,310.22852,0.56431496,0.31827632,0.017740248,45.99367,45.99367
588725937,2490386,2490386,0,0,0,0,0,0,0,0,809.375,809.375,8093.75,8093.75,3.9122415,0.18946956,2.4091937e-06,0.48447004,-0.46646595,-11.606514,-1.6704541,0.11664102,0.033030435,82.0497,66.019165,449.31186,0.7369904,0.52044463,0.0119663365,45.947857,45.947857
588829693,2490386,2490386,0,0,0,0,0,0,0,0,809.37573,809.37573,8093.7573,8093.7573,3.9231722,0.18567899,9.019208e-07,0.43696964,-0.4396748,-11.283187,-0.7036018,-0.08062785,0.040308762,35.74529,47.157986,396.71796,0.6962236,0.1590814,0.008679234,45.886032,45.886032
588933491,2490386,2490386,0,0,0,0,0,0,0,0,809.37604,809.37604,8093.7603,8093.7603,3.9074814,0.17386794,3.3041843e-07,0.61294055,-0.4104684,-10.980277,-0.2970248,0.03146026,0.030659925,61.166374,28.84916,408.294,0.32189497,0.15864109,0.017198086,45.87884,45.87884
589037150,2490386,2490386,0,0,0,0,0,0,0,0,809.37646,809.37646,8093.764,8093.764,3.6979542,0.16687255,1.8505264e-07,0.51605594,-0.32676047,-11.508073,-0.13317388,-0.0007056048,0.039041955,42.809597,83.11187,137.27243,0.5007347,0.15872939,0.009593944,45.87424,45.87424
589140846,2490386,2490386,0,0,0,0,0,0,0,0,809.3768,809.3768,8093.7676,8093.7676,3.5270917,0.16646811,3.6612113e-07,0.5844202,-0.1258498,-11.113812,0.1213263,0.18089458,0.04523992,47.62026,54.810875,265.52203,0.34449908,0.16508484,0.008231879,45.882366,45.882366
589244633,2490386,2490386,0,0,0,0,0,0,0,0,809.3771,809.3771,8093.771,8093.771,3.42206,0.18036878,1.1342649e-07,0.5478595,-0.31160536,-10.944212,-0.035822354,-0.0049057542,0.052621517,29.073439,28.5951,221.45995,0.105572335,0.1193872,0.008201623,45.88229,45.88229
589349743,2490386,2490386,0,0,0,0,0,0,0,0,809.3774,809.3774,8093.774,8093.774,3.2709854,0.17448398,1.0959362e-07,0.42079082,-0.04600519,-10.79733,0.2713788,-0.021948108,0.054224674,15.760373,10.765012,117.32333,0.02985122,0.067228846,0.01063505,45.880703,45.880703
589452282,2490386,2490386,0,0,0,0,0,0,0,0,809.3777,809.3777,8093.777,8093.777,3.669599,0.1755504,3.3618986e-07,0.4603221,0.085872844,-11.182769,0.5770521,-0.0061745513,-0.0077390424,22.900816,21.592129,111.97863,0.1554199,0.04063671,0.0058363634,45.87078,45.87078
589556108,2490386,2490386,0,0,0,0,0,0,0,0,809.3781,809.3781,8093.781,8093.781,4.9631867,0.16748403,4.470331e-07,0.58785886,0.1291292,-10.858928,0.56998277,-0.016299961,-0.03897677,6.0110517,32.79426,182.08499,0.29662055,0.09024493,0.0039952695,45.808033,45.808033
589659923,2490386,2490386,0,0,0,0,0,0,0,0,809.37836,809.37836,8093.784,8093.784,5.331946,0.17469662,2.024066e-07,0.38958257,0.55371475,-10.7331,0.27668175,-0.19971402,-0.047054384,27.088646,28.63208,206.99301,0.20482948,0.093301736,0.004811138,45.74592,45.74592
589760049,2490386,2490386,0,0,0,0,0,0,0,0,809.3788,809.3788,8093.7876,8093.7876,5.4943604,0.18314134,1.7098951e-07,0.4728273,0.37657648,-10.59086,0.14422244,-0.027114788,-0.04733525,43.93245,40.026974,449.32925,0.16890734,0.18121491,0.009186144,45.657906,45.657906
589862335,2490386,2490386,0,0,0,0,0,0,0,0,809.3791,809.3791,8093.791,8093.791,4.8895836,0.18098909,1.3244266e-07,0.15821414,0.63911176,-9.883485,0.017503748,0.0062327096,-0.06248576,44.614513,49.80531,291.6618,0.34648973,0.04568043,0.009217282,45.57763,45.57763
589966101,2490386,2490386,0,0,0,0,0,0,0,0,809.3794,809.3794,8093.7944,8093.7944,4.4808145,0.19106643,1.839197e-07,0.35904393,0.799987,-9.738276,-0.006050529,-0.10810633,-0.01337195,41.069374,54.345585,236.21378,0.37733302,0.069681995,0.011419184,45.47447,45.47447
590070493,2490386,2490386,0,0,0,0,0,0,0,0,809.3797,809.3797,8093.7974,8093.7974,4.4741015,0.2009035,1.2482163e-07,0.26291424,0.6035589,-10.738835,-0.088828556,0.01618815,0.008208378,34.44994,93.56986,599.5617,0.36790696,0.08126168,0.0047846,45.37979,45.37979
590173625,2490386,2490386,0,0,0,0,0,0,0,0,809.3801,809.3801,8093.8013,8093.8013,4.0196877,0.20213734,1.0947096e-07,0.1644306,0.7332338,-10.056096,0.08215115,-0.10417166,-0.0037754565,27.41713,78.3572,332.24274,0.38600367,0.07503694,0.005832566,45.278427,45.278427
590277467,2490386,2490386,0,0,0,0,0,0,0,0,809.3805,809.3805,8093.805,8093.805,3.9105933,0.19677216,3.2902045e-07,0.5235111,0.60183084,-10.086796,-0.083585255,-0.14850998,0.0031912273,94.40097,32.437958,383.00543,0.31601295,0.3743213,0.018401407,45.188347,45.188347
590381308,2490386,2490386,0,0,0,0,0,0,0,0,809.3809,809.3809,8093.809,8093.809,4.0700483,0.18557991,2.2456544e-07,0.25807044,0.6566524,-10.972132,-0.041342054,-0.055622004,0.055496495,59.752483,93.271866,573.0074,0.28454113,0.266128,0.006189115,45.084038,45.084038
590481823,2490386,2490386,0,0,0,0,0,0,0,0,809.3813,809.3813,8093.813,8093.813,4.329125,0.21757615,6.4667864e-07,0.48354712,0.8323534,-10.241288,0.18311688,0.12946726,0.039783582,88.67778,134.87198,780.9507,0.57275355,1.0408429,0.011888576,44.976902,44.976902
590583997,2490386,2490386,0,0,0,0,0,0,0,0,809.38165,809.38165,8093.8164,8093.8164,4.569619,0.23455249,3.0439654e-07,0.41984192,0.81034565,-10.571127,0.30995336,-0.083732,0.020609528,71.0008,87.42021,1032.9277,0.40073204,0.33006367,0.013127824,44.89475,44.89475
590687747,2490386,2490386,0,0,0,0,0,0,0,0,809.382,809.382,8093.8203,8093.8203,5.053468,0.23846884,6.8639e-07,0.3245344,0.8677099,-10.76249,-0.0094914865,-0.18097752,0.06555398,129.51166,105.300285,1224.9728,0.6190431,0.5942651,0.024574274,44.85256,44.85256
590791947,2490386,2490386,0,0,0,0,0,0,0,0,809.38245,809.38245,8093.8237,8093.8237,5.5267153,0.23733363,1.4156818e-06,0.64031523,0.82107013,-9.6221895,-0.04718223,0.46497834,0.055734344,130.85706,220.23935,1712.1737,1.659025,1.3365307,0.029573565,44.832,44.832
