timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
592836760,32767,32767,32767,32767,32767,32767
592841701,32767,32767,32767,32767,32767,-25
592846643,32767,32767,32767,32767,32767,32767
592851584,32767,32767,32767,32767,32767,32767
592856525,32767,32767,32767,32767,32767,32767
592861467,32767,32767,32767,32767,32767,32767
592866408,32767,32767,32767,32767,32767,32767
592871353,32767,32767,32767,32767,32767,32767
592876291,32767,32767,32767,32767,32767,31
592881233,32767,32767,32767,32767,32767,32767
592886174,32767,32767,32767,32767,32767,32767
592891119,32767,32767,32767,32767,32767,32767
592896057,32767,32767,32767,32767,32767,32767
592900998,32767,32767,32767,32767,32767,32767
592905940,32767,32767,32767,32767,32767,32767
592910882,32767,32767,32767,32767,-5,-30
592915822,32767,32767,32767,-37,32767,32767
592920767,32767,32767,32767,32767,32767,32767
592925705,32767,32767,32767,32767,32767,32767
592930646,32767,32767,32767,32767,32767,32767
592935588,32767,32767,32767,32767,32767,32767
592940529,32767,32767,32767,32767,32767,32767
592945476,32767,32767,32767,32767,32767,-33
592950412,32767,32767,32767,32767,-1,32767
592955354,32767,32767,32767,1,32767,32767
592960295,32767,32767,32767,32767,32767,32767
592965236,32767,32767,32767,32767,32767,32767
592970179,32767,32767,32767,32767,32767,32767
592975127,32767,32767,32767,32767,32767,32767
592980060,32767,32767,32767,32767,32767,-29
592985005,32767,32767,32767,32767,32767,32767
592989943,32767,32767,32767,32767,32767,32767
592994885,32767,32767,32767,32767,32767,32767
592999826,32767,32767,32767,32767,32767,32767
593004770,32767,32767,32767,32767,32767,32767
593009709,32767,32767,32767,32767,32767,-9
593014650,32767,32767,32767,32767,32767,32767
593019592,32767,32767,32767,32767,32767,32767
593024533,32767,32767,32767,32767,32767,32767
593029474,32767,32767,32767,32767,32767,32767
593034416,32767,32767,32767,32767,32767,32767
593039359,32767,32767,32767,32767,32767,32767
593044299,32767,32767,32767,-22,32767,-34
593049242,32767,32767,32767,32767,32767,32767
593054181,32767,32767,32767,32767,32767,32767
593059123,32767,32767,32767,32767,32767,32767
593064064,32767,32767,32767,32767,32767,32767
593069010,32767,32767,32767,32767,32767,32767
593073949,32767,32767,32767,32767,-33,32767
593078889,32767,32767,32767,32767,32767,32767
593083830,32767,32767,32767,17,32767,-4
593088771,32767,32767,32767,32767,18,32767
593093713,32767,32767,32767,32767,32767,32767
593098655,32767,32767,32767,32767,32767,32767
593103595,32767,32767,32767,32767,32767,32767
593108537,32767,32767,32767,32767,32767,32767
593113478,32767,32767,32767,32767,32767,-7
593118421,32767,32767,32767,32767,32767,32767
