timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
594655608,594655191,-0.23956184,-2.0386262,-10.505775
594660621,594660196,0.02656778,-1.9884365,-10.727922
594665656,594665204,-0.28089967,-2.4938967,-10.442171
594670714,594670212,0.2452775,-1.8013358,-10.997789
594675638,594675220,-0.14973444,-2.428118,-10.430084
594680673,594680228,0.065842144,-1.642146,-10.087355
594685682,594685237,0.10091713,-2.0621321,-9.298288
594690736,594690245,0.26102704,-1.9841177,-9.188948
594695674,594695253,0.6021165,-1.7814078,-9.58546
594700678,594700261,0.7718741,-2.3656905,-9.36333
594705728,594705270,0.74152106,-1.7850053,-10.167927
594710860,594710277,0.5152623,-2.485164,-10.059847
594715838,594715286,0.663735,-1.4405912,-10.73098
594720734,594720294,0.8982324,-2.6164942,-9.922611
594725788,594725302,0.5746296,-1.1674684,-10.914525
594730899,594730310,0.592554,-2.822704,-10.124807
594735877,594735319,0.67508256,-1.3211762,-11.079243
594740804,594740326,0.60020196,-2.994086,-10.265956
594745804,594745334,0.5200586,-1.3744912,-9.86756
594750760,594750343,0.1322866,-2.0018773,-8.170639
594755781,594755351,0.61925715,-1.3571287,-7.49933
594760822,594760359,0.119154975,-2.3432221,-7.4163404
594765803,594765367,0.81750387,-1.6243317,-7.9358854
594770809,594770375,0.17306517,-2.6619005,-8.35884
594775893,594775386,0.72728634,-2.2204316,-8.696056
594780934,594780392,0.37824303,-2.7728114,-8.923528
594785836,594785401,0.64835227,-1.9794831,-8.697643
594790824,594790408,0.28449926,-2.1329606,-8.90294
594795838,594795416,0.78037673,-1.7322408,-9.199049
594800849,594800424,0.52573085,-1.8777531,-9.246418
594805910,594805446,0.54488003,-1.8651097,-9.503532
594810968,594810440,0.6694051,-1.5962337,-9.108265
594816030,594815448,0.30155063,-1.8531862,-8.963404
594820965,594820456,0.64609754,-1.5765152,-8.713787
594825891,594825464,-0.019877216,-2.5603805,-8.947545
594831015,594830476,-0.15823376,-1.7600644,-9.2100115
594835933,594835481,-0.21510217,-2.9121118,-9.183
594840911,594840489,-0.37218866,-2.0680041,-9.20535
594846073,594845504,-0.05820596,-2.1727517,-9.527025
594851013,594850505,0.27313474,-1.893029,-9.770091
594855936,594855513,0.46752977,-2.06395,-10.341823
594860985,594860522,0.3318826,-2.3588097,-10.052209
594865954,594865529,0.6387635,-1.7477149,-9.96387
594870946,594870537,0.6230745,-2.0460315,-10.229799
594875984,594875546,0.45056027,-1.344053,-10.548499
594881088,594880554,0.4156111,-2.4381094,-10.970299
594886013,594885562,0.43397093,-1.9028825,-11.343302
594890993,594890570,0.15390146,-2.4546614,-11.083572
594895999,594895578,-0.0245106,-1.7832736,-10.649734
594901039,594900586,0.16832876,-2.1207097,-11.31753
594906045,594905594,0.38861337,-1.4568661,-11.135929
594911114,594910603,0.4783603,-2.0948043,-11.094759
594916138,594915618,0.546152,-1.6484053,-10.869663
594921162,594920619,0.11910306,-2.5186548,-9.753428
594926100,594925627,0.6560486,-2.5056112,-10.154353
594931072,594930635,0.1859735,-2.2013834,-10.195484
594936083,594935643,0.6686147,-1.8451885,-10.61682
594941156,594940651,0.5192289,-1.6945964,-10.393585
594946080,594945659,0.80507725,-2.1166832,-9.580182
594951165,594950667,0.32891893,-1.7714686,-9.232484
594956182,594955676,0.5207141,-2.1719,-9.105617
594961107,594960684,0.32783607,-1.2892383,-10.069732
594966130,594965700,0.7681921,-1.6689085,-9.5935955
594971120,594970700,0.5082432,-1.2168851,-9.683839
594981135,594980716,0.6771611,-1.6182374,-9.480457
594986139,594985724,0.5607855,-2.012338,-9.516277
594991241,594990742,0.25049338,-1.8523228,-10.136972
594996183,594995741,0.29280427,-2.2770734,-10.096317
595001240,595000749,0.10915525,-1.4294751,-10.054405
595006330,595005757,0.10820895,-1.983292,-10.011628
595011225,595010767,0.43092114,-1.6344645,-10.582251
595016372,595015774,0.5772006,-2.4322555,-9.781568
595021303,595020781,0.4817598,-1.7679735,-10.030166
595026199,595025789,0.48195437,-2.344432,-8.942018
595031285,595030797,0.13059041,-2.5338564,-9.634914
595036226,595035805,0.3703969,-2.8772388,-9.512069
595041236,595040813,0.14010765,-2.879628,-10.345609
595046280,595045821,0.27367017,-2.2286007,-9.285374
