timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
566386475,566385402,59.396222568643566,24.66057355873787,30.582611,42.631966,0.06750712,0.3914768,0.5849778,nan,2,2,0,0
566396450,566395421,59.396222566051286,24.66057356011719,30.583595,42.63295,0.06750712,0.3918153,0.585154,nan,2,2,0,0
566406474,566405442,59.39622256352332,24.660573561189057,30.584612,42.63397,0.06750712,0.39215723,0.58533144,nan,2,2,0,0
566416459,566415459,59.396222560935335,24.660573561915573,30.58564,42.634995,0.06750712,0.39250267,0.58551025,nan,2,2,0,0
566426453,566425479,59.39622255846957,24.660573562269352,30.586811,42.636166,0.06750712,0.39285165,0.5856105,nan,2,2,0,0
566436444,566435498,59.396222556080986,24.66057356243361,30.587997,42.637352,0.06750712,0.39320415,0.58579147,nan,2,2,0,0
566446542,566445517,59.3962225536238,24.660573562241982,30.5892,42.638554,0.06750712,0.39356026,0.58597374,nan,2,2,0,0
566456707,566455537,59.39622255132311,24.66057356179344,30.590414,42.63977,0.06750712,0.39391994,0.5861573,nan,2,2,0,0
566466622,566465556,59.396222549095356,24.660573560921627,30.591648,42.641003,0.06750712,0.39428324,0.5863422,nan,2,2,0,0
566476614,566475575,59.39622254674107,24.660573559776058,30.592903,42.642258,0.06750712,0.3946502,0.5865285,nan,2,2,0,0
566487314,566485594,59.39622254522515,24.66057356405932,30.593836,42.63847,0.06750712,0.390654,0.5845402,nan,2,2,0,0
566496666,566495613,59.39622254375428,24.660573567921414,30.594793,42.639427,0.06750712,0.390984,0.58471316,nan,2,2,0,0
566506602,566505634,59.39622254219118,24.660573571442367,30.59577,42.640404,0.06750712,0.3913174,0.58488744,nan,2,2,0,0
566516702,566515657,59.396222540761045,24.660573574609536,30.596767,42.6414,0.06750712,0.39165425,0.585063,nan,2,2,0,0
566526585,566525671,59.396222539410225,24.660573577336592,30.597786,42.642418,0.06750712,0.39199457,0.58523977,nan,2,2,0,0
566536625,566535690,59.396222538033676,24.660573579671958,30.598831,42.643463,0.06750712,0.39233834,0.5854179,nan,2,2,0,0
566546652,566545714,59.39622253665071,24.66057358170198,30.5999,42.64453,0.06750712,0.39268562,0.58559734,nan,2,2,0,0
566556916,566555729,59.396222535336335,24.66057358335506,30.601103,42.645737,0.06750712,0.39303643,0.58569777,nan,2,2,0,0
566566729,566565748,59.39622253396837,24.66057358471543,30.602325,42.646957,0.06750712,0.3933908,0.5858794,nan,2,2,0,0
