timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
578631997,578530320,2490386,-0.0019869972,0.002178089,0.0017430778,0.15,2.6047937e-07,2.59706e-07,5.186684e-07,2490386,0.024965243,-0.028812692,-0.18984395,0.4,0.00075353286,0.0007605215,0.00051177386,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
578740962,578639045,2490386,-0.0019859225,0.002183426,0.0017430686,0.15,2.6149453e-07,2.6071737e-07,5.1974274e-07,2490386,0.023634113,-0.028511304,-0.19015014,0.4,0.0007492976,0.00075671816,0.0005117761,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
578868118,578767539,2490386,-0.0019850684,0.0021894698,0.0017428894,0.15,2.6268788e-07,2.6190617e-07,5.2101126e-07,2490386,0.02224354,-0.028321575,-0.19066499,0.4,0.0007447355,0.0007526089,0.00051177776,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
578986490,578886153,2490386,-0.0019817746,0.0021956663,0.0017430363,0.15,2.6376222e-07,2.629749e-07,5.221767e-07,2490386,0.020937912,-0.027670624,-0.19133914,0.4,0.0007399925,0.00074834464,0.0005117747,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
579135410,579034413,2490386,-0.00198177,0.002205138,0.0017422129,0.15,2.651028e-07,2.643096e-07,5.236402e-07,2490386,0.01910907,-0.02772986,-0.19212896,0.4,0.000734842,0.00074364565,0.00051177805,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
579273282,579172786,2490386,-0.0019789543,0.002213011,0.0017419537,0.15,2.6631884e-07,2.6551788e-07,5.2500815e-07,2490386,0.017711023,-0.027306404,-0.19301747,0.4,0.0007294751,0.0007387918,0.00051178405,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
579373065,579271627,2490386,-0.0019780926,0.002224154,0.0017409733,0.15,2.6713013e-07,2.6631952e-07,5.2598034e-07,2490386,0.015838047,-0.027248487,-0.19397582,0.4,0.0007243155,0.0007341982,0.000511785,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
579500233,579400120,2490386,-0.0019750423,0.0022361805,0.001740179,0.15,2.682076e-07,2.6738627e-07,5.2724545e-07,2490386,0.013957049,-0.02687633,-0.19505356,0.4,0.000719109,0.00072955585,0.0005117866,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
579619711,579518728,2490386,-0.0019726087,0.002246515,0.0017394689,0.15,2.691624e-07,2.6832998e-07,5.284127e-07,2490386,0.012451433,-0.02660886,-0.19604778,0.4,0.00071399705,0.0007249763,0.0005117888,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
579737770,579637336,2490386,-0.0019708439,0.002260115,0.0017383036,0.15,2.7009196e-07,2.6924658e-07,5.295795e-07,2490386,0.010604822,-0.026499078,-0.19743025,0.4,0.00070902205,0.00072055834,0.0005117908,527625,-0.102838606,-0.14201848,-0.080839805,0.5,0.0012135186,0.0005146971,0.0011242449,1,0,1,0,1,0
