timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
565633963,-0.0088262595,0.004465158,-0.0056816265,5011,0,-0.61232334,0.3607019,-10.113276,5011,0,0,1,1
565638971,-0.012976787,-0.0024041967,-0.004605452,5008,0,-0.81938475,0.31972104,-9.903315,5008,0,0,1,1
565643981,-0.00041306467,0.00419609,0.002301665,5010,0,-0.7185943,0.16366552,-9.780256,5010,0,0,1,1
565648993,-0.005938613,-0.0024198047,0.006830638,5012,0,-0.55635303,0.04474485,-9.831428,5012,0,0,1,1
565654000,-0.012165195,-0.017243668,0.00071393914,5007,0,-0.7492709,0.37386107,-10.051407,5007,0,0,1,1
565659010,-0.004751013,-0.00032842124,0.0032265394,5010,0,-0.8396112,0.20076501,-9.853688,5010,0,0,1,1
565664019,-0.0015780501,-0.00307606,0.0030555495,5009,0,-0.60868245,0.34236443,-10.153166,5009,0,0,1,1
565669029,-0.013840832,0.0040588197,0.005009635,5010,0,-0.9493499,0.18427226,-9.984979,5010,0,0,1,1
565674038,-0.0035754484,-0.00045695776,-0.0027683636,5009,0,-0.7008854,0.21909532,-9.969712,5009,0,0,1,1
565679049,0.01007157,-0.00355304,-0.0025963606,5011,0,-0.647897,0.084365375,-9.822895,5011,0,0,1,1
565684057,-0.004442086,-0.004401701,-0.0071408176,5008,0,-0.8498052,0.24193342,-10.11283,5008,0,0,1,1
565689067,-0.00020317142,0.0025889259,-0.0027166263,5010,0,-0.74457747,0.16264325,-9.986339,5010,0,0,1,1
565694077,-0.006412468,-0.009649591,-0.004241546,5010,0,-0.7848249,0.4142778,-10.114974,5010,0,0,1,1
565699086,-0.009267053,-0.0008030519,0.0012642504,5009,0,-0.65370226,0.06459899,-9.8366375,5009,0,0,1,1
565704096,-0.015271049,0.0029100892,0.0011097997,5010,0,-0.83811957,0.27239192,-10.023178,5010,0,0,1,1
565709106,-0.0059108036,-0.008919665,0.0027763643,5010,0,-0.5496547,0.25568798,-10.02638,5010,0,0,1,1
