timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
565586950,565586478,2490386,2490386,-1.7932816e-05,8.582417e-06,1.9785039e-05,-0.0028921976,0.0011023099,-0.04935676,4943,4943,0,0,1,1
565591929,565591420,2490386,2490386,-3.2054442e-05,-5.230508e-06,4.696653e-05,-0.0025477298,0.00086475565,-0.049971905,4942,4942,0,0,1,1
565596879,565596363,2490386,2490386,-3.109317e-05,3.6678916e-06,5.144663e-05,-0.004936237,0.0009832267,-0.048844516,4943,4943,0,0,1,1
565601811,565601305,2490386,2490386,-1.0881779e-05,2.558296e-05,2.8630888e-05,-0.0036214937,0.00045979102,-0.04876418,4942,4942,0,0,1,1
565606817,565606248,2490386,2490386,-6.9134046e-08,1.4694028e-06,1.7587889e-05,-0.0033733372,0.001293591,-0.048209105,4943,4943,0,0,1,1
565611567,565611190,2490386,2490386,2.3770586e-05,1.5347461e-05,4.1363155e-06,-0.0039744037,0.0009787194,-0.048747577,4942,4942,0,0,1,1
565616462,565616133,2490386,2490386,2.7659471e-05,2.8735454e-05,-1.0200058e-05,-0.0041234232,0.0006557885,-0.049080145,4943,4943,0,0,1,1
565621366,565621075,2490386,2490386,9.849452e-06,2.692783e-05,-1.2435869e-05,-0.0027523434,0.00077430176,-0.048936658,4942,4942,0,0,1,1
565626307,565626017,2490386,2490386,2.302958e-06,4.747025e-05,-1.6422773e-05,-0.004236583,0.0013229772,-0.049817234,4942,4942,0,0,1,1
565631303,565630960,2490386,2490386,-2.4360183e-05,3.5979367e-05,-9.178438e-06,-0.0034162241,-6.3981934e-06,-0.04935938,4943,4943,0,0,1,1
565636197,565635902,2490386,2490386,-1.1369875e-05,3.9593626e-05,-2.0336483e-06,-0.00351817,0.0009273073,-0.04913028,4942,4942,0,0,1,1
565646087,565645787,2490386,2490386,-1.8367635e-05,9.109064e-07,1.1788544e-05,-0.0036491116,0.0004745175,-0.04784196,4942,4942,0,0,1,1
565651049,565650731,2490386,2490386,-5.7662386e-05,-3.840814e-05,2.7285958e-05,-0.0034117175,0.0010807319,-0.048868254,4944,4944,0,0,1,1
565655977,565655672,2490386,2490386,-2.4794075e-05,9.155219e-06,2.074293e-05,-0.0045822514,0.0010245956,-0.049392905,4941,4941,0,0,1,1
565661071,565660614,2490386,2490386,-3.7402984e-05,1.2825138e-05,3.9467643e-05,-0.003745876,0.00094791123,-0.049869154,4942,4942,0,0,1,1
565665957,565665557,2490386,2490386,-3.6877598e-06,3.4556335e-05,2.5425186e-05,-0.0029986755,0.001123682,-0.049578395,4943,4943,0,0,1,1
565671084,565670501,2490386,2490386,-3.7199177e-05,2.8801172e-05,2.5051499e-05,-0.0046866187,0.0010539911,-0.048704628,4944,4944,0,0,1,1
565675872,565675441,2490386,2490386,4.4413315e-05,7.230701e-06,-9.715292e-06,-0.0033498397,0.00046991798,-0.048982427,4940,4940,0,0,1,1
565680992,565680384,2490386,2490386,4.016434e-05,4.447179e-06,1.5020692e-06,-0.0032236474,0.00039613977,-0.0488011,4943,4943,0,0,1,1
565685838,565685326,2490386,2490386,-1.0830332e-05,1.0041363e-05,-1.3724699e-05,-0.0043201414,0.0016058801,-0.04898096,4942,4942,0,0,1,1
565690991,565690268,2490386,2490386,2.1820413e-05,4.0055536e-05,-1.1172443e-05,-0.0036214655,0.00022477892,-0.048927136,4942,4942,0,0,1,1
565695752,565695211,2490386,2490386,-2.655179e-05,-2.4464698e-05,-1.409708e-05,-0.0027206645,0.00043891877,-0.049144037,4943,4943,0,0,1,1
565700475,565700153,2490386,2490386,-4.173726e-05,1.1746058e-05,2.1283873e-05,-0.0039851186,0.0017779487,-0.04872541,4942,4942,0,0,1,1
565705440,565705096,2490386,2490386,-5.0276736e-05,3.2766737e-05,7.916192e-06,-0.0036028756,0.00028392128,-0.049188536,4943,4943,0,0,1,1
565710420,565710038,2490386,2490386,-1.5693184e-05,-3.1994387e-05,2.1921609e-05,-0.0028500662,0.0008288228,-0.048803702,4942,4942,0,0,1,1
565716616,565714981,2490386,2490386,-6.0654824e-05,-3.1415263e-06,2.4410321e-05,-0.004187263,0.0009950608,-0.048424233,4943,4943,0,0,1,1
565720297,565719923,2490386,2490386,-6.5783365e-06,2.062808e-05,3.113023e-05,-0.0047932207,0.001101483,-0.049476296,4942,4942,0,0,1,1
565726198,565724866,2490386,2490386,-4.5982197e-06,-3.1391432e-06,7.38887e-06,-0.002893779,0.00020435621,-0.04903557,4943,4943,0,0,1,1
565730234,565729814,2490386,2490386,-2.1529442e-05,-1.1232875e-05,1.34429165e-05,-0.0029206392,0.0011923377,-0.049571272,4948,4948,0,0,1,1
565735837,565734756,2490386,2490386,2.3745599e-05,5.155288e-05,3.4359052e-06,-0.004529261,0.00092080084,-0.049882416,4942,4942,0,0,1,1
565740102,565739693,2490386,2490386,-3.5753696e-06,1.8028419e-05,-2.7379217e-06,-0.003599106,0.00014665755,-0.049040947,4937,4937,0,0,1,1
565746230,565744635,2490386,2490386,3.9209222e-05,2.3370087e-05,-2.8238032e-06,-0.0033520565,0.0015698805,-0.04886497,4942,4942,0,0,1,1
565751232,565749577,2490386,2490386,2.5952913e-05,7.4843345e-05,8.638827e-07,-0.005493984,0.00077650364,-0.049237397,4942,4942,0,0,1,1
565755947,565754520,2490386,2490386,1.2944321e-05,4.7701127e-05,-7.733451e-06,-0.0030528875,0.00051250064,-0.050013717,4943,4943,0,0,1,1
565760102,565759463,2490386,2490386,-1.5377946e-05,2.6559535e-06,-9.19595e-06,-0.002023956,0.0005000969,-0.04884381,4943,4943,0,0,1,1
565765608,565764407,2490386,2490386,-5.198191e-05,-6.7506826e-06,7.719683e-06,-0.004366516,0.001958973,-0.049668886,4944,4944,0,0,1,1
565770091,565769347,2490386,2490386,-2.8663168e-05,1.3706271e-05,1.6819842e-05,-0.0042959834,-7.0267335e-05,-0.048618738,4940,4940,0,0,1,1
565776013,565774289,2490386,2490386,-7.7182594e-05,1.2041684e-05,1.8872475e-05,-0.0031114807,0.0010963079,-0.048802465,4942,4942,0,0,1,1
565780954,565779231,2490386,2490386,-3.7546073e-05,9.369255e-06,3.08591e-05,-0.0036414878,0.0017313889,-0.049608983,4942,4942,0,0,1,1
565785487,565784174,2490386,2490386,-1.3299472e-05,1.6199197e-05,3.3503045e-05,-0.0038667005,0.0006887594,-0.049125005,4943,4943,0,0,1,1
