Unnamed: 0,timestamp,device_id,AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
84,603307812,2490386,-0.05626374,0.6742072,-9.664913,-0.027312405,0.013076646,0.0043300153,39.7343
85,603311520,2490386,-0.4355053,-0.01388637,-10.13298,-0.052180015,-0.0173134,-0.010312098,39.77657
86,603315206,2490386,-0.09648633,-0.09720459,-10.560823,-0.028005207,-0.010998239,0.0026513017,39.746376
87,603317772,2490386,-0.49464208,0.53366756,-9.924685,-0.047350384,-0.0029444105,0.037291426,39.746376
88,603321383,2490386,-0.1352724,-0.40438068,-9.919896,-0.06750827,-0.004363323,0.024661103,39.710144
89,603326332,2490386,0.6112397,-1.184651,-11.022186,-0.05565069,0.0023049004,0.029190965,39.836956
90,603328771,2490386,-0.83342165,-0.911712,-11.223538,0.033527642,-0.026193263,0.026000077,39.806763
91,603333788,2490386,-0.25617957,-1.3742718,-10.411904,0.03369418,-0.014582159,0.009412787,39.82488
92,603336282,2490386,-0.14652514,-0.22122423,-10.594582,-0.05509112,0.017986218,0.020137902,39.830917
93,603338784,2490386,-0.18531121,0.51666874,-9.915586,0.03761784,-0.025313936,-0.003996937,39.82488
94,603343573,2490386,0.24851814,0.031124622,-9.738176,0.01565467,-0.029950384,-0.011477872,39.67995
95,603346047,2490386,-0.023942018,1.0745177,-9.937853,-0.025700307,-0.0017320062,0.012223966,39.855072
96,603349749,2490386,-0.06895301,0.5056554,-9.7719345,-0.08248346,0.008340276,0.013349771,39.72826
97,603353451,2490386,-0.34931403,-0.09744401,-10.083659,-0.02971723,-0.031822283,0.024234762,39.794685
98,603357162,2490386,-0.66056025,-0.13551182,-10.084617,-0.006861409,-0.049355514,0.036005743,39.806763
99,603359625,2490386,-0.17477673,-0.14867993,-10.684364,-0.036765162,-0.0030110262,0.03326784,39.64372
